episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
522,1,-1.011,0.989,0.0731,0.0731
523,0,0.98,-1.02,0.0727,0.0727
524,1,-1.009,0.991,0.0723,0.0723
525,1,-1.013,0.987,0.072,0.072
526,1,-1.017,0.983,0.0716,0.0716
527,1,-1.019,0.981,0.0712,0.0712
528,1,-1.009,0.991,0.0709,0.0709
529,0,0.988,-1.012,0.0705,0.0705
530,1,-1.021,0.979,0.0702,0.0702
531,0,0.984,-1.016,0.0698,0.0698
532,0,0.984,-1.016,0.0695,0.0695
533,0,0.988,-1.012,0.0691,0.0691
534,1,-1.019,0.981,0.0688,0.0688
535,0,0.98,-1.02,0.0684,0.0684
536,1,-1.019,0.981,0.0681,0.0681
537,1,-1.015,0.985,0.0678,0.0678
538,1,-1.019,0.981,0.0674,0.0674
539,1,-1.015,0.985,0.0671,0.0671
540,0,0.986,-1.014,0.0668,0.0668
541,1,-1.021,0.979,0.0664,0.0664
542,0,0.988,-1.012,0.0661,0.0661
543,0,0.988,-1.012,0.0658,0.0658
544,1,-1.017,0.983,0.0654,0.0654
545,1,-1.007,0.993,0.0651,0.0651
546,1,-1.007,0.993,0.0648,0.0648
547,1,-1.007,0.993,0.0645,0.0645
548,0,0.988,-1.012,0.0641,0.0641
549,0,0.992,-1.008,0.0638,0.0638
550,1,-1.011,0.989,0.0635,0.0635
551,1,-1.007,0.993,0.0632,0.0632
552,1,-1.007,0.993,0.0629,0.0629
553,1,-1.011,0.989,0.0625,0.0625
554,1,-1.019,0.981,0.0622,0.0622
555,1,-1.011,0.989,0.0619,0.0619
556,1,-1.007,0.993,0.0616,0.0616
557,1,-1.007,0.993,0.0613,0.0613
558,1,-1.007,0.993,0.061,0.061
559,1,-1.007,0.993,0.0607,0.0607
560,1,-1.009,0.991,0.0604,0.0604
561,0,0.984,-1.016,0.0601,0.0601
562,1,-1.009,0.991,0.0598,0.0598
563,1,-1.015,0.985,0.0595,0.0595
564,0,0.984,-1.016,0.0592,0.0592
565,1,-1.015,0.985,0.0589,0.0589
566,0,0.978,-1.022,0.0586,0.0586
567,1,-1.019,0.981,0.0583,0.0583
568,0,0.984,-1.016,0.058,0.058
569,0,0.992,-1.008,0.0577,0.0577
570,1,-1.015,0.985,0.0574,0.0574
571,0,0.984,-1.016,0.0571,0.0571
572,0,0.986,-1.014,0.0569,0.0569
573,1,-1.013,0.987,0.0566,0.0566
574,1,-1.009,0.991,0.0563,0.0563
575,1,-1.009,0.991,0.056,0.056
576,1,-1.009,0.991,0.0557,0.0557
577,1,-1.019,0.981,0.0555,0.0555
578,1,-1.009,0.991,0.0552,0.0552
