episode,opponent,learner_won,winner,reward_learner,epsilon
614,minimax,0,0,-0.003,0.05
615,minimax,0,1,-0.006,0.05
616,heuristic,0,0,-0.002,0.05
617,frozen,0,0,-0.014,0.05
618,frozen,1,0,0.986,0.05
619,frozen,1,0,0.985,0.05
620,frozen,1,0,0.99,0.05
621,random,0,1,-0.011,0.05
622,self,1,1,0.987,0.05
623,frozen,1,0,0.985,0.05
624,frozen,1,1,0.987,0.05
625,self,1,0,0.986,0.05
626,frozen,1,0,0.984,0.05
627,minimax,0,1,-0.01,0.05
628,self,0,1,-0.017,0.05
629,frozen,0,0,-0.016,0.05
630,heuristic,0,0,-0.008,0.05
631,minimax,0,0,-0.003,0.05
632,random,1,0,0.989,0.05
633,frozen,0,0,-0.011,0.05
634,frozen,1,1,0.987,0.05
635,random,1,0,0.99,0.05
636,minimax,0,0,-0.003,0.05
637,random,1,0,0.991,0.05
638,frozen,0,1,-0.013,0.05
639,heuristic,0,1,-0.003,0.05
640,frozen,1,1,0.987,0.05
641,frozen,1,0,0.991,0.05
642,frozen,1,1,0.995,0.05
643,random,1,1,0.987,0.05
644,frozen,1,1,0.988,0.05
645,minimax,0,0,-0.005,0.05
646,frozen,0,1,-0.009,0.05
647,self,1,0,0.988,0.05
648,heuristic,0,1,-0.003,0.05
649,heuristic,1,1,0.995,0.05
650,minimax,0,1,-0.003,0.05
651,self,0,1,-0.015,0.05
652,heuristic,0,1,-0.004,0.05
653,frozen,0,1,-0.016,0.05
654,minimax,0,0,-0.003,0.05
655,self,1,1,0.986,0.05
656,self,0,0,-0.015,0.05
657,minimax,0,1,-0.002,0.05
658,heuristic,0,0,-0.006,0.05
659,heuristic,1,1,0.995,0.05
660,frozen,1,1,0.986,0.05
661,frozen,0,1,-0.015,0.05
662,random,0,0,-0.013,0.05
663,frozen,1,1,0.985,0.05
664,frozen,0,0,-0.006,0.05
665,random,1,1,0.99,0.05
666,heuristic,1,0,0.997,0.05
667,random,0,0,-0.011,0.05
668,minimax,0,1,-0.002,0.05
669,heuristic,0,0,-0.006,0.05
670,heuristic,0,1,-0.002,0.05
671,minimax,0,0,-0.003,0.05
672,minimax,0,1,-0.002,0.05
673,random,0,1,-0.011,0.05
674,frozen,0,1,-0.017,0.05
675,frozen,1,0,0.985,0.05
676,frozen,1,0,0.991,0.05
677,frozen,0,1,-0.014,0.05
678,frozen,1,1,0.986,0.05
679,heuristic,0,0,-0.006,0.05
680,random,0,0,-0.011,0.05
681,frozen,1,0,0.985,0.05
682,frozen,0,0,-0.01,0.05
683,minimax,0,1,-0.004,0.05
684,frozen,0,0,-0.014,0.05
685,minimax,0,0,-0.001,0.05
686,self,1,1,0.987,0.05
687,heuristic,0,0,-0.004,0.05
688,heuristic,0,1,-0.002,0.05
689,minimax,0,1,-0.002,0.05
690,frozen,1,1,0.99,0.05
691,frozen,1,1,0.994,0.05
692,minimax,0,0,-0.003,0.05
693,self,0,1,-0.016,0.05
694,frozen,1,1,0.989,0.05
695,frozen,0,0,-0.007,0.05
696,minimax,0,0,-0.003,0.05
697,minimax,0,1,-0.002,0.05
698,heuristic,0,1,-0.002,0.05
699,frozen,1,0,0.989,0.05
700,frozen,0,0,-0.016,0.05
701,heuristic,0,0,-0.005,0.05
702,self,0,1,-0.017,0.05
703,random,1,1,0.987,0.05
704,frozen,1,1,0.988,0.05
705,self,1,0,0.99,0.05
706,frozen,0,0,-0.016,0.05
707,frozen,0,0,-0.016,0.05
708,frozen,1,0,0.989,0.05
709,heuristic,0,0,-0.005,0.05
710,frozen,0,1,-0.017,0.05
711,random,1,1,0.99,0.05
712,heuristic,0,0,-0.01,0.05
713,frozen,0,0,-0.016,0.05
714,self,0,1,-0.016,0.05
715,minimax,0,0,-0.001,0.05
716,heuristic,1,1,0.989,0.05
717,self,1,0,0.987,0.05
718,random,1,0,0.99,0.05
719,frozen,1,0,0.986,0.05
720,minimax,0,1,-0.007,0.05
721,minimax,0,1,-0.013,0.05
722,minimax,0,1,-0.008,0.05
723,frozen,1,0,0.984,0.05
724,self,1,0,0.985,0.05
725,random,1,1,0.991,0.05
726,frozen,1,1,0.986,0.05
727,self,1,1,0.985,0.05
728,self,0,0,-0.015,0.05
729,frozen,0,1,-0.013,0.05
730,minimax,0,1,-0.008,0.05
731,random,1,0,0.987,0.05
732,self,1,0,0.988,0.05
733,self,1,0,0.986,0.05
